"checkbox__unchecked href","m-item-3-col__column--image href","m-image src","m-item-3-col__title--link","BOLD","m-item-3-col__text","m-item-3-col__text 2","PSEUDOLINK href","PSEUDOLINK","clipped","m-text","m-text href","clipped 2","default","default href","default 2","default href 2","btn__cell","fake-menu-button__item href","fake-menu-button__item","fake-menu-button__item 2","fake-menu-button__item 3","icon href 5","m-item-3-col__text 3","fake-menu-button__item href 2","fake-menu-button__item href 3","fake-menu-button__item 4","fake-menu-button__item 5","icon href 6","m-text 2","clipped 3","DEFAULT 2"
"[object Object]","https://www.ebay.com.au/itm/198170918806","https://i.ebayimg.com/images/g/SuYAAeSwrBRo55zI/s-l500.jpg","Dell Precision 7750 Laptop 17.3” 32GB RAM |  1 TB SSD | 16GB GPU","AU $1,200.00","Or Buy It Now","+AU $20.00","https://www.ebay.com.au/usr/zinc_techno","zinc_techno","username","94.70% (51)","https://www.ebay.com.au/fdbk/feedback_profile/zinc_techno","Feedback score is 51 for zinc_techno","Buy It Now","https://www.ebay.com.au/itm/198170918806","Make Best Offer","https://www.ebay.com.au/itm/198170918806","More actions","https://www.ebay.com.au/sch/zinc_techno/m.html","View seller's other items","View similar items","Contact seller","[object Object]","Used","https://www.ebay.com.au/sch/i.html?_id=198170918806&_nkw=Dell+Precision+7750+Laptop+17.3%E2%80%9D+32GB+RAM+%7C++1+TB+SSD+%7C+16GB+GPU","https://contact.ebay.com.au/ws/eBayISAPI.dll?FindAnswers&requested=zinc_techno&redirect=0&iid=198170918806","Help & report","Add note to self","[object Object]","","Postage",""
"[object Object]","https://www.ebay.com.au/itm/267696137396","https://i.ebayimg.com/images/g/PQEAAeSwz-5qKqop/s-l500.jpg","MSI Raider GE78HX i9 13980HX RTX 4090 32GB 2TB QHD 240Hz Gaming Laptop","AU $3,469.70*","Or Buy It Now","+ Postage","https://www.ebay.com.au/usr/geoff_lee367","geoff_lee367","username","100% (5774)","https://www.ebay.com.au/fdbk/feedback_profile/geoff_lee367","Feedback score is 5774 for geoff_lee367","View similar items","https://www.ebay.com.au/sch/i.html?_id=267696137396&_nkw=MSI+Raider+GE78HX+i9+13980HX+RTX+4090+32GB+2TB+QHD+240Hz+Gaming+Laptop","View seller's other items","https://www.ebay.com.au/sch/geoff_lee367/m.html","More actions","https://contact.ebay.com.au/ws/eBayISAPI.dll?FindAnswers&requested=geoff_lee367&redirect=0&iid=267696137396","Contact seller","Help & report","Add note to self","","Used","","","","","","* Converted from GBP 1,799.00","",""
"[object Object]","https://www.ebay.com.au/itm/800005839650","https://i.ebayimg.com/images/g/YpYAAeSwNN9oxUf-/s-l500.jpg","Acer Predator Helios Neo 18 AI - 18.0"" Intel Core Ultra 9 275HX - GeForce RTX 50","AU $3,640.74*","Or Buy It Now","+AU $1,061.83","https://www.ebay.com.au/usr/newegg","newegg","username","99.50% (1075337)","https://www.ebay.com.au/fdbk/feedback_profile/newegg","Feedback score is 1075337 for newegg","Buy It Now","https://www.ebay.com.au/itm/800005839650","View seller's other items","https://www.ebay.com.au/sch/newegg/m.html","More actions","https://www.ebay.com.au/sch/i.html?_id=800005839650&_nkw=Acer+Predator+Helios+Neo+18+AI+-+18.0%22+Intel+Core+Ultra+9+275HX+-+GeForce+RTX+50","View similar items","Contact seller","Help & report","[object Object]","Brand New","https://contact.ebay.com.au/ws/eBayISAPI.dll?FindAnswers&requested=newegg&redirect=0&iid=800005839650","","Add note to self","","","* Converted from US $2,524.49","Postage",""
"[object Object]","https://www.ebay.com.au/itm/358672186388","https://i.ebayimg.com/images/g/xvAAAeSwFcFqLGXZ/s-l500.jpg","Acer Predator Helios 18” Gaming Laptop, 250Hz, RTX 4090, I9-14900HX, 32GB, 1TB","AU $3,648.67*","Or Buy It Now","+AU $918.99","https://www.ebay.com.au/usr/laptop-goods","laptop-goods","username","99.90% (80530)","https://www.ebay.com.au/fdbk/feedback_profile/laptop-goods","Feedback score is 80530 for laptop-goods","Buy It Now","https://www.ebay.com.au/itm/358672186388","View in cart","https://cart.payments.ebay.com.au/sc/view?","More actions","https://www.ebay.com.au/sch/laptop-goods/m.html","View seller's other items","View similar items","Contact seller","[object Object]","Excellent - Refurbished","https://www.ebay.com.au/sch/i.html?_id=358672186388&_nkw=Acer+Predator+Helios+18%E2%80%9D+Gaming+Laptop%2C+250Hz%2C+RTX+4090%2C+I9-14900HX%2C+32GB%2C+1TB","https://contact.ebay.com.au/ws/eBayISAPI.dll?FindAnswers&requested=laptop-goods&redirect=0&iid=358672186388","Help & report","Add note to self","[object Object]","* Converted from US $2,529.99","Postage",""
"[object Object]","https://www.ebay.com.au/itm/278082458240","https://i.ebayimg.com/images/g/GPkAAeSwQJpqLHG2/s-l500.jpg","Lenovo ThinkPad P15 Gen 2 FHD i7-11800H 2.30GHz 32GB 1TB SSD RTX A4000 Very Good","AU $1,427.73*","Or Buy It Now","+AU $405.47","https://www.ebay.com.au/usr/itsworthmore","itsworthmore","username","99.60% (163144)","https://www.ebay.com.au/fdbk/feedback_profile/itsworthmore","Feedback score is 163144 for itsworthmore","View similar items","https://www.ebay.com.au/sch/i.html?_id=278082458240&_nkw=Lenovo+ThinkPad+P15+Gen+2+FHD+i7-11800H+2.30GHz+32GB+1TB+SSD+RTX+A4000+Very+Good","View seller's other items","https://www.ebay.com.au/sch/itsworthmore/m.html","More actions","https://contact.ebay.com.au/ws/eBayISAPI.dll?FindAnswers&requested=itsworthmore&redirect=0&iid=278082458240","Contact seller","Help & report","Add note to self","","Very Good - Refurbished","","","","","","* Converted from US $989.99","Postage",""
"[object Object]","https://www.ebay.com.au/itm/236876060237","https://i.ebayimg.com/images/g/dA4AAeSwPQVqMrqk/s-l500.jpg","LENOVO THINKPAD P16 | CORE i9 | RTX A4500 GFX | 64GB | 2TB | 3840x2400 | WRNTY","AU $3,728.01*","Or Buy It Now","+AU $932.62","https://www.ebay.com.au/usr/bit-by-bit-electronics","bit-by-bit-electronics","username","99.70% (9239)","https://www.ebay.com.au/fdbk/feedback_profile/bit-by-bit-electronics","Feedback score is 9239 for bit-by-bit-electronics","View similar items","https://www.ebay.com.au/sch/i.html?_id=236876060237&_nkw=LENOVO+THINKPAD+P16+%7C+CORE+i9+%7C+RTX+A4500+GFX+%7C+64GB+%7C+2TB+%7C+3840x2400+%7C+WRNTY","View seller's other items","https://www.ebay.com.au/sch/bit-by-bit-electronics/m.html","More actions","https://contact.ebay.com.au/ws/eBayISAPI.dll?FindAnswers&requested=bit-by-bit-electronics&redirect=0&iid=236876060237","Contact seller","Help & report","Add note to self","","Very Good - Refurbished","","","","","","* Converted from US $2,585.00","Postage",""
"[object Object]","https://www.ebay.com.au/itm/397837419713","https://i.ebayimg.com/images/g/0msAAeSwbrVpEsvA/s-l500.jpg","ASUS ROG Zephyrus duo 16"" QHD 240Hz Gaming Laptop Ryzen 9 32GB 1TB SSD RTX 4080","AU $2,974.70","Or Buy It Now","Free postage","https://www.ebay.com.au/usr/eversmen","eversmen","username","100% (46)","https://www.ebay.com.au/fdbk/feedback_profile/eversmen","Feedback score is 46 for eversmen","Buy It Now","https://www.ebay.com.au/itm/397837419713","Make Best Offer","https://www.ebay.com.au/itm/397837419713","More actions","https://www.ebay.com.au/sch/eversmen/m.html","View seller's other items","View similar items","Contact seller","[object Object]","Used","https://www.ebay.com.au/sch/i.html?_id=397837419713&_nkw=ASUS+ROG+Zephyrus+duo+16%22+QHD+240Hz+Gaming+Laptop+Ryzen+9+32GB+1TB+SSD+RTX+4080","https://contact.ebay.com.au/ws/eBayISAPI.dll?FindAnswers&requested=eversmen&redirect=0&iid=397837419713","Help & report","Add note to self","[object Object]","","","84 watching"
"[object Object]","https://www.ebay.com.au/itm/366348476691","https://i.ebayimg.com/images/g/fUQAAeSwZDpqOj5B/s-l500.jpg","HP OMEN MAX Gaming Laptop 16""WQXGA AI 9 HX 375 32GB 1TBSSD RTX5080","AU $4,249.00","Or Buy It Now","Free postage","https://www.ebay.com.au/usr/hp_official","hp_official","username","99.30% (3290)","https://www.ebay.com.au/fdbk/feedback_profile/hp_official","Feedback score is 3290 for hp_official","Buy It Now","https://www.ebay.com.au/itm/366348476691","View in cart","https://cart.payments.ebay.com.au/sc/view?","More actions","https://www.ebay.com.au/sch/hp_official/m.html","View seller's other items","View similar items","Contact seller","[object Object]","Brand New","https://www.ebay.com.au/sch/i.html?_id=366348476691&_nkw=HP+OMEN+MAX+Gaming+Laptop+16%22WQXGA+AI+9+HX+375+32GB+1TBSSD+RTX5080","https://contact.ebay.com.au/ws/eBayISAPI.dll?FindAnswers&requested=hp_official&redirect=0&iid=366348476691","Help & report","Add note to self","[object Object]","","40 watching","25 sold"
"[object Object]","https://www.ebay.com.au/itm/366348476692","https://i.ebayimg.com/images/g/O-gAAeSw9fxqOjyX/s-l500.jpg","HP OMEN MAX Gaming Laptop16"" OLED Ultra 9 275HX 32GB 1TB SSD RTX5080","AU $4,799.00","Or Buy It Now","Free postage","https://www.ebay.com.au/usr/hp_official","hp_official","username","99.30% (3290)","https://www.ebay.com.au/fdbk/feedback_profile/hp_official","Feedback score is 3290 for hp_official","View similar items","https://www.ebay.com.au/sch/i.html?_id=366348476692&_nkw=HP+OMEN+MAX+Gaming+Laptop16%22+OLED+Ultra+9+275HX+32GB+1TB+SSD+RTX5080","View seller's other items","https://www.ebay.com.au/sch/hp_official/m.html","More actions","https://contact.ebay.com.au/ws/eBayISAPI.dll?FindAnswers&requested=hp_official&redirect=0&iid=366348476692","Contact seller","Help & report","Add note to self","","Brand New","","","","","","","",""
"[object Object]","https://www.ebay.com.au/itm/358683902569","https://i.ebayimg.com/images/g/2fcAAeSwrrZqMF88/s-l500.jpg","Dell Precision 7670 16"" i9-12950HX RTX 3080 Ti 16GB 64GB RAM 512GB SSD Win11 Pro","AU $2,064.00*","Or Buy It Now","+AU $571.98","https://www.ebay.com.au/usr/igpered-0","igpered-0","username","99.70% (694)","https://www.ebay.com.au/fdbk/feedback_profile/igpered-0","Feedback score is 694 for igpered-0","Buy It Now","https://www.ebay.com.au/itm/358683902569","Make Best Offer","https://www.ebay.com.au/itm/358683902569","More actions","https://cart.payments.ebay.com.au/sc/view?","View in cart","View seller's other items","View similar items","[object Object]","Used","https://www.ebay.com.au/sch/igpered-0/m.html","https://www.ebay.com.au/sch/i.html?_id=358683902569&_nkw=Dell+Precision+7670+16%22+i9-12950HX+RTX+3080+Ti+16GB+64GB+RAM+512GB+SSD+Win11+Pro","Contact seller","Help & report","[object Object]","* Converted from US $1,431.18","Postage","30 watching"
"[object Object]","https://www.ebay.com.au/itm/358683915614","https://i.ebayimg.com/images/g/l7oAAeSw6B9qMF~U/s-l500.jpg","Dell Precision 7670 16"" i9-12950HX RTX 3080 Ti 16GB 8GB RAM 512GB SSD Win11 Pro","AU $1,695.17*","Or Buy It Now","+AU $494.85","https://www.ebay.com.au/usr/igpered-0","igpered-0","username","99.70% (694)","https://www.ebay.com.au/fdbk/feedback_profile/igpered-0","Feedback score is 694 for igpered-0","Buy It Now","https://www.ebay.com.au/itm/358683915614","Make Best Offer","https://www.ebay.com.au/itm/358683915614","More actions","https://cart.payments.ebay.com.au/sc/view?","View in cart","View seller's other items","View similar items","[object Object]","Used","https://www.ebay.com.au/sch/igpered-0/m.html","https://www.ebay.com.au/sch/i.html?_id=358683915614&_nkw=Dell+Precision+7670+16%22+i9-12950HX+RTX+3080+Ti+16GB+8GB+RAM+512GB+SSD+Win11+Pro","Contact seller","Help & report","[object Object]","* Converted from US $1,175.43","Postage","16 watching"
"[object Object]","https://www.ebay.com.au/itm/278093444445","https://i.ebayimg.com/images/g/g7kAAeSw50hqR0EK/s-l500.jpg","Acer Predator Helios Neo 18 "" 250hz U9 16gb Ddr5 1tb SSD RTX 5070 8gb W11 Pro _","AU $3,551.00","Or Buy It Now","Free postage","https://www.ebay.com.au/usr/simpletek-italia","simpletek-italia","username","100% (31309)","https://www.ebay.com.au/fdbk/feedback_profile/simpletek-italia","Feedback score is 31309 for simpletek-italia","Buy It Now","https://www.ebay.com.au/itm/278093444445","Make Best Offer","https://www.ebay.com.au/itm/278093444445","More actions","https://www.ebay.com.au/sch/simpletek-italia/m.html","View seller's other items","View similar items","Contact seller","[object Object]","","https://www.ebay.com.au/sch/i.html?_id=278093444445&_nkw=Acer+Predator+Helios+Neo+18+%22+250hz+U9+16gb+Ddr5+1tb+SSD+RTX+5070+8gb+W11+Pro+_","https://contact.ebay.com.au/ws/eBayISAPI.dll?FindAnswers&requested=simpletek-italia&redirect=0&iid=278093444445","Help & report","Add note to self","[object Object]","","",""
"[object Object]","https://www.ebay.com.au/itm/267641691840","https://i.ebayimg.com/images/g/KvoAAeSw6Ytpv1s6/s-l500.jpg","MSI Vector 18 HX AI 18in 240Hz Ultra 9 275HX RTX 5080 1TB SSD 32gb DDR5","AU $4,170.70","Or Buy It Now","Free postage","https://www.ebay.com.au/usr/a2db25","a2db25","username","100% (498)","https://www.ebay.com.au/fdbk/feedback_profile/a2db25","Feedback score is 498 for a2db25","Buy It Now","https://www.ebay.com.au/itm/267641691840","Make Best Offer","https://www.ebay.com.au/itm/267641691840","More actions","https://www.ebay.com.au/sch/a2db25/m.html","View seller's other items","View similar items","Contact seller","[object Object]","Used","https://www.ebay.com.au/sch/i.html?_id=267641691840&_nkw=MSI+Vector+18+HX+AI+18in+240Hz+Ultra+9+275HX+RTX+5080+1TB+SSD+32gb+DDR5","https://contact.ebay.com.au/ws/eBayISAPI.dll?FindAnswers&requested=a2db25&redirect=0&iid=267641691840","Help & report","Add note to self","[object Object]","","",""
"[object Object]","https://www.ebay.com.au/itm/227393223080","https://i.ebayimg.com/images/g/170AAeSwZDpqMvIm/s-l500.jpg","Dell Precision 7780 17.3"" i9-13950HX 2.2GHz 64GB RAM 1TB SSD RTX 3500 Ada","AU $3,331.39*","Or Buy It Now","+AU $854.27","https://www.ebay.com.au/usr/paymore_fort_thomas","paymore_fort_thomas","username","99.50% (5721)","https://www.ebay.com.au/fdbk/feedback_profile/paymore_fort_thomas","Feedback score is 5721 for paymore_fort_thomas","Buy It Now","https://www.ebay.com.au/itm/227393223080","View seller's other items","https://www.ebay.com.au/sch/paymore_fort_thomas/m.html","More actions","https://www.ebay.com.au/sch/i.html?_id=227393223080&_nkw=Dell+Precision+7780+17.3%22+i9-13950HX+2.2GHz+64GB+RAM+1TB+SSD+RTX+3500+Ada","View similar items","Contact seller","Help & report","[object Object]","Used","https://contact.ebay.com.au/ws/eBayISAPI.dll?FindAnswers&requested=paymore_fort_thomas&redirect=0&iid=227393223080","","Add note to self","","","* Converted from US $2,309.99","Postage",""
"[object Object]","https://www.ebay.com.au/itm/277903442793","https://i.ebayimg.com/images/g/Y~4AAeSwl5xp4oqO/s-l500.jpg","Acer Predator Triton 14 AI 14 120Hz TOUCH 3.3GHz Ultra 9 288V 32GB 2TB RTX 5070","AU $2,823.75*","Or Buy It Now","+AU $891.00","https://www.ebay.com.au/usr/itsworthmore","itsworthmore","username","99.60% (163144)","https://www.ebay.com.au/fdbk/feedback_profile/itsworthmore","Feedback score is 163144 for itsworthmore","Buy It Now","https://www.ebay.com.au/itm/277903442793","View seller's other items","https://www.ebay.com.au/sch/itsworthmore/m.html","More actions","https://www.ebay.com.au/sch/i.html?_id=277903442793&_nkw=Acer+Predator+Triton+14+AI+14+120Hz+TOUCH+3.3GHz+Ultra+9+288V+32GB+2TB+RTX+5070","View similar items","Contact seller","Help & report","[object Object]","Excellent - Refurbished","https://contact.ebay.com.au/ws/eBayISAPI.dll?FindAnswers&requested=itsworthmore&redirect=0&iid=277903442793","","Add note to self","","","* Converted from US $1,957.99","Postage","15 watching"
"[object Object]","https://www.ebay.com.au/itm/198363360068","https://i.ebayimg.com/images/g/o1EAAeSwmGVpCur4/s-l500.jpg","Asus GX650PV ROG Zephyrus Duo16 R9 7945HX 32GB RAM 1TB SSD RTX4060 16"" + 14"" W11","AU $2,611.55","Or Buy It Now","Free postage","https://www.ebay.com.au/usr/treasure_pc_online","treasure_pc_online","username","100% (16010)","https://www.ebay.com.au/fdbk/feedback_profile/treasure_pc_online","Feedback score is 16010 for treasure_pc_online","Buy It Now","https://www.ebay.com.au/itm/198363360068","View seller's other items","https://www.ebay.com.au/sch/treasure_pc_online/m.html","More actions","https://www.ebay.com.au/sch/i.html?_id=198363360068&_nkw=Asus+GX650PV+ROG+Zephyrus+Duo16+R9+7945HX+32GB+RAM+1TB+SSD+RTX4060+16%22+%2B+14%22+W11","View similar items","Contact seller","Help & report","[object Object]","","https://contact.ebay.com.au/ws/eBayISAPI.dll?FindAnswers&requested=treasure_pc_online&redirect=0&iid=198363360068","","Add note to self","","[object Object]","","","21 watching"
