source,gpu,price_aud,recommended_action,llm_index_score,title_or_model
shortlist_historical,RTX A2000,1349.1,SKIP,1,"DELL PRECISION 5570 15.6"" 4K TOUCH, i9 12900H 32GB 1TB SSD RTX A2000 8GB WIN 11"
shortlist_historical,—,8663.94,MANUAL_REVIEW,0,MSI Titan 18 HX Dragon Edition Norse Myth
shortlist_historical,RTX 5090,5480.24,MANUAL_REVIEW,65,MSI TITAN 18 HX 5090 6TB w/2 chargers and a extra storage drive w/gaming mouse
shortlist_historical,RTX 5070,2451.69,SHORTLIST,56,Acer Predator Triton 14 AI Gaming Laptop Touch Ultra 9 32GB RAM 2TB SSD RTX 5070
shortlist_historical,RTX 5000,3488.46,SHORTLIST,26,"Dell Precision 7750 17"" FHD Xeon W-10885 2.4GHz 128GB 2TB RTX 5000 W11P"
shortlist_historical,RTX A4500,1743.43,SHORTLIST,46,"HP ZBook Fury 16 G9 - 16"" FHD+, i9 12950HX, RTX A4500 16GB, 32GB RAM, 1TB SSD"
shortlist_historical,RTX A4000,1899.99,SKIP,13,"Dell Precision 7560 15"" Touch Laptop i7-11850H 8-Cores 32GB 8GB RTX A4000 Mobile"
shortlist_historical,RTX 5000,1900.0,SHORTLIST,26,Dell Precision 7550 Laptop | Intel Xeon W10855M CPU| 64GB| 1.5TB |16 GB RTX 5000
shortlist_historical,RTX 3080 Ti,1733.89,SHORTLIST,43,Alienware X15 R2 i9 12900H RTX 3080 Ti 32GB 2TB QHD 240Hz Laptop AZERTY seedesc*
shortlist_historical,RTX 5070,3710.55,MANUAL_REVIEW,47,"ASUS ROG Strix Scar 18 (2025) Gaming Laptop, 18” ROG Nebula HDR 16:10, RTX 5070"
shortlist_historical,RTX 5070 Ti,4050.22,MANUAL_REVIEW,41,ACER PREDATOR HELIOS NEO 18 AI ULTRA 9 275HX RTX5070TI 64GB RAM 2TB SSD £2999rrp
shortlist_historical,RTX 500 Ada,4499.0,SKIP,16,"HP ZBook 8 G1i 16"" UWVA Touch Ultra 7 255H RTX 500 Ada 1TB SSD WUXGA 32GB Laptop"
shortlist_historical,RTX 4080,2696.84,MANUAL_REVIEW,41,"MSI Raider 18 HX Gaming Laptop Intel Core i9-14900HX RTX 4080 32GB 1TB 18"" W11H"
shortlist_historical,—,2299.0,MANUAL_REVIEW,0,"Razer Blade Pro 17 17.3"" Intel Core i7-10875H Gaming Laptop"
shortlist_historical,RTX 4090,2714.7,MANUAL_REVIEW,42,ROG Strix RTX 4090 18inch Laptop
