date_found,source_batch,track,pathway,category,item_name,price_aud,gpu_model,vram_gb,unified_memory_gb,ram_gb,cpu_model,condition,retailer,url,au_stock_confirmed,verification_status,status,notes
2026-04-17,ChatGPT-Export,1,1A,Laptop,seller-refurbished ThinkPad P16s Gen 4,1499,UNKNOWN,UNKNOWN,UNKNOWN,32,UNKNOWN,Refurbished,UNKNOWN,UNKNOWN,UNKNOWN,Needs Verification,Watchlist,ChatGPT export provenance: Laptop Desktop Pivot Analysis (69e20cd5-7728-839c-a1e8-c58a361e87a2); message 7bba5f1f-505c-43f9-ace0-dcd558dcc91c.
2026-04-17,ChatGPT-Export,1,1A,Laptop,18-inch performance laptops,UNKNOWN,RTX 5080,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,very high-end performance use,UNKNOWN,UNKNOWN,Needs Verification,Watchlist,ChatGPT export provenance: Laptop Desktop Pivot Analysis (69e20cd5-7728-839c-a1e8-c58a361e87a2); message a40cbb2c-1d6f-499e-b1b8-2e6b3662827c.
2026-04-17,ChatGPT-Export,1.5,UNKNOWN,Desktop,Yoga AIO Gen 10,1899,Radeon RX 6600M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Open Box,UNKNOWN,UNKNOWN,UNKNOWN,Needs Verification,Watchlist,ChatGPT export provenance: Laptop Desktop Pivot Analysis (69e20cd5-7728-839c-a1e8-c58a361e87a2); message e4b8a39d-bcec-44b2-8c7f-5e5ecf56a64f.
2026-04-17,ChatGPT-Export,UNKNOWN,UNKNOWN,UNKNOWN,"A$1,899",1899,RTX 4050,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Needs Verification,Watchlist,ChatGPT export provenance: Laptop Desktop Pivot Analysis (69e20cd5-7728-839c-a1e8-c58a361e87a2); message 56e33946-ec50-4423-ad64-5cff3f13a8c1.
2026-04-17,ChatGPT-Export,UNKNOWN,UNKNOWN,UNKNOWN,Yoga AIO 7 27ACH6,799.99,Radeon RX 6600M,UNKNOWN,UNKNOWN,32,UNKNOWN,Used,UNKNOWN,UNKNOWN,UNKNOWN,Needs Verification,Watchlist,ChatGPT export provenance: Laptop Desktop Pivot Analysis (69e20cd5-7728-839c-a1e8-c58a361e87a2); message 56e33946-ec50-4423-ad64-5cff3f13a8c1.
2026-04-17,ChatGPT-Export,1,1A,Laptop,LG gram 17,2474.25,UNKNOWN,UNKNOWN,UNKNOWN,32,UNKNOWN,Refurbished,LG AU,UNKNOWN,UNKNOWN,Needs Verification,Watchlist,ChatGPT export provenance: Laptop Desktop Pivot Analysis (69e20cd5-7728-839c-a1e8-c58a361e87a2); message 56e33946-ec50-4423-ad64-5cff3f13a8c1.
2026-04-18,ChatGPT-Export,1,1A,Laptop,17Z90SP-ED7HK,3139,RTX 3050,UNKNOWN,UNKNOWN,32,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Needs Verification,Watchlist,ChatGPT export provenance: Laptop Desktop Pivot Analysis (69e20cd5-7728-839c-a1e8-c58a361e87a2); message bedbfee3-e352-4ddf-8afc-83809e18c2ec.
2026-04-18,ChatGPT-Export,UNKNOWN,UNKNOWN,UNKNOWN,"AU$3,700",3700,RTX 4080,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Needs Verification,Watchlist,ChatGPT export provenance: Laptop Desktop Pivot Analysis (69e20cd5-7728-839c-a1e8-c58a361e87a2); message bedbfee3-e352-4ddf-8afc-83809e18c2ec.
2026-04-18,ChatGPT-Export,1,1A,Laptop,ThinkPad P16s Gen 4 (alone),3287,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,New,UNKNOWN,UNKNOWN,UNKNOWN,Needs Verification,Watchlist,ChatGPT export provenance: Laptop Desktop Pivot Analysis (69e20cd5-7728-839c-a1e8-c58a361e87a2); message f1e2b75a-9c78-4e03-a980-e9f4f44d3c0a.
2026-04-18,ChatGPT-Export,UNKNOWN,UNKNOWN,UNKNOWN,LG gram Pro 17 RTX 5050 via Big Apple Buddy,2688,RTX 5050,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,New,UNKNOWN,UNKNOWN,UNKNOWN,Needs Verification,Watchlist,ChatGPT export provenance: Laptop Desktop Pivot Analysis (69e20cd5-7728-839c-a1e8-c58a361e87a2); message f1e2b75a-9c78-4e03-a980-e9f4f44d3c0a.
2026-04-18,ChatGPT-Export,1.5,UNKNOWN,Desktop,Razer Blade 18 (2025),UNKNOWN,RTX 5090,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,New,UNKNOWN,UNKNOWN,UNKNOWN,Needs Verification,Watchlist,ChatGPT export provenance: Laptop Desktop Pivot Analysis (69e20cd5-7728-839c-a1e8-c58a361e87a2); message f1e2b75a-9c78-4e03-a980-e9f4f44d3c0a.
2026-04-18,ChatGPT-Export,1,1A,Laptop,MSI Titan 18 HX AI,UNKNOWN,RTX 5090,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,New,UNKNOWN,UNKNOWN,UNKNOWN,Needs Verification,Watchlist,ChatGPT export provenance: Laptop Desktop Pivot Analysis (69e20cd5-7728-839c-a1e8-c58a361e87a2); message f1e2b75a-9c78-4e03-a980-e9f4f44d3c0a.
2026-04-18,ChatGPT-Export,UNKNOWN,UNKNOWN,UNKNOWN,17-inch,2688,RTX 5050,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Needs Verification,Watchlist,ChatGPT export provenance: Laptop Desktop Pivot Analysis (69e20cd5-7728-839c-a1e8-c58a361e87a2); message f1e2b75a-9c78-4e03-a980-e9f4f44d3c0a.
2026-04-19,ChatGPT-Export,UNKNOWN,UNKNOWN,UNKNOWN,price,1612,RTX 5090,UNKNOWN,UNKNOWN,64,UNKNOWN,New,UNKNOWN,UNKNOWN,UNKNOWN,Needs Verification,Watchlist,ChatGPT export provenance: Suspicious eBay Listing (69e44757-2364-83a0-acd0-25e12905cb03); message 771b67c1-d91c-47b2-88c5-46d999e51773.
2026-04-19,ChatGPT-Export,UNKNOWN,UNKNOWN,UNKNOWN,"US$4,899.99",1612,RTX 5090,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,New,UNKNOWN,UNKNOWN,UNKNOWN,Needs Verification,Watchlist,ChatGPT export provenance: Suspicious eBay Listing (69e44757-2364-83a0-acd0-25e12905cb03); message 771b67c1-d91c-47b2-88c5-46d999e51773.
2026-04-19,ChatGPT-Export,1,1A,Laptop,"US$1,900 / about AU$2,648",2648,RTX 5090,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Needs Verification,Watchlist,ChatGPT export provenance: RAM upgradeability on ASUS (69e471ea-45b4-839a-969c-c1a32942376a); message acc203eb-df27-435c-a83e-a80e5850bcaa.
2026-04-19,ChatGPT-Export,1,1A,Laptop,RTX 5080 / 64GB / 2TB,7698,RTX 5080,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Needs Verification,Watchlist,ChatGPT export provenance: RAM upgradeability on ASUS (69e471ea-45b4-839a-969c-c1a32942376a); message acc203eb-df27-435c-a83e-a80e5850bcaa.
2026-04-19,ChatGPT-Export,1,1A,Laptop,RTX 5090,7867.66,RTX 5090,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Needs Verification,Watchlist,ChatGPT export provenance: RAM upgradeability on ASUS (69e471ea-45b4-839a-969c-c1a32942376a); message acc203eb-df27-435c-a83e-a80e5850bcaa.
2026-04-19,ChatGPT-Export,1,1A,Laptop,"US$2,199",UNKNOWN,RTX 5090,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Used,UNKNOWN,UNKNOWN,UNKNOWN,Needs Verification,Watchlist,ChatGPT export provenance: eBay Listing Risk Assessment (69e47251-ebc0-839e-9988-a5ce7cfbe8cb); message d856041d-a7a1-461c-810a-bfa0ac68715d.
2026-04-19,ChatGPT-Export,UNKNOWN,UNKNOWN,UNKNOWN,HP Spectre x360 16 (2024),2299,RTX 4050,UNKNOWN,UNKNOWN,32,UNKNOWN,New,UNKNOWN,UNKNOWN,UNKNOWN,Needs Verification,Watchlist,ChatGPT export provenance: HP Spectre x360 Review (69e47313-c634-83a1-aa81-1db5c208986e); message b4138c9a-c987-4047-86b8-18d55b98e1cc.
2026-04-19,ChatGPT-Export,1,1A,Laptop,RTX 4050 laptop GPU with 6GB VRAM,UNKNOWN,RTX 4050,6,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,integrated graphics,UNKNOWN,UNKNOWN,Needs Verification,Watchlist,ChatGPT export provenance: HP Spectre x360 Review (69e47313-c634-83a1-aa81-1db5c208986e); message b4138c9a-c987-4047-86b8-18d55b98e1cc.
2026-04-21,ChatGPT-Export,UNKNOWN,UNKNOWN,UNKNOWN,RTX 4050,UNKNOWN,RTX 4050,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,integrated graphics,UNKNOWN,UNKNOWN,Needs Verification,Watchlist,ChatGPT export provenance: HP Spectre x360 Review (69e47313-c634-83a1-aa81-1db5c208986e); message 68afb6dd-35fd-4144-9276-b480fe56cb57.
2026-04-19,ChatGPT-Export,1,1A,Laptop,actual,3989.05,RTX 4080,UNKNOWN,UNKNOWN,32,UNKNOWN,Refurbished,UNKNOWN,UNKNOWN,UNKNOWN,Needs Verification,Watchlist,ChatGPT export provenance: Laptop Listings Comparison (69e473a6-f9dc-839b-89ea-2b8ce865aba0); message 3e3e7a2a-abb5-455d-a445-ea351845c5c4.
2026-04-19,ChatGPT-Export,UNKNOWN,UNKNOWN,UNKNOWN,use-case fit,3514.05,RTX 4070,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Refurbished,UNKNOWN,UNKNOWN,UNKNOWN,Needs Verification,Watchlist,ChatGPT export provenance: Laptop Listings Comparison (69e473a6-f9dc-839b-89ea-2b8ce865aba0); message 3e3e7a2a-abb5-455d-a445-ea351845c5c4.
2026-04-19,ChatGPT-Export,UNKNOWN,UNKNOWN,UNKNOWN,"Ultra 9 275HX, RTX 5090, 64GB, 2TB",7198.4,RTX 5090,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Needs Verification,Watchlist,ChatGPT export provenance: Laptop Listings Comparison (69e473a6-f9dc-839b-89ea-2b8ce865aba0); message 3e3e7a2a-abb5-455d-a445-ea351845c5c4.
2026-04-19,ChatGPT-Export,1,1A,Laptop,desktop-replacement laptop,4070.65,RTX 4090,UNKNOWN,UNKNOWN,32,UNKNOWN,New,UNKNOWN,UNKNOWN,UNKNOWN,Needs Verification,Watchlist,ChatGPT export provenance: Laptop Listings Comparison (69e473a6-f9dc-839b-89ea-2b8ce865aba0); message 3d4864ce-e3af-4be9-9dc2-59f7f43f60e2.
2026-04-19,ChatGPT-Export,UNKNOWN,UNKNOWN,UNKNOWN,portability and screen area,3139.15,RTX 3050,UNKNOWN,UNKNOWN,32,UNKNOWN,New,UNKNOWN,UNKNOWN,UNKNOWN,Needs Verification,Watchlist,ChatGPT export provenance: Laptop Listings Comparison (69e473a6-f9dc-839b-89ea-2b8ce865aba0); message 3d4864ce-e3af-4be9-9dc2-59f7f43f60e2.
2026-04-19,ChatGPT-Export,1.5,UNKNOWN,Desktop,32GB/1TB/RTX 4050,4124,RTX 4050,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Needs Verification,Watchlist,ChatGPT export provenance: Laptop Listings Comparison (69e473a6-f9dc-839b-89ea-2b8ce865aba0); message 79e5d573-da60-4c7f-967c-9fbbe44f5e07.
2026-04-20,ChatGPT-Export,1.5,UNKNOWN,Desktop,The pattern is already clear: current Australian retail mostly gives you 18-inch,UNKNOWN,RTX 4080,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Refurbished,UNKNOWN,UNKNOWN,UNKNOWN,Needs Verification,Watchlist,ChatGPT export provenance: Desktop-replacement Laptop Scan (69e58518-7fb8-83a1-ac74-f78c3c2a0686); message 860dd094-b021-4463-a020-c49998e5409d.
2026-04-20,ChatGPT-Export,1.5,UNKNOWN,Desktop,17–18 inch desktop-replacement,4.5,RTX 4080,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Refurbished,eBay AU listings from the UK or US,UNKNOWN,UNKNOWN,Needs Verification,Watchlist,ChatGPT export provenance: Desktop-replacement Laptop Scan (69e58518-7fb8-83a1-ac74-f78c3c2a0686); message 0e6a38f3-20c3-405e-8383-0da45787fbaf.
2026-04-20,ChatGPT-Export,UNKNOWN,UNKNOWN,UNKNOWN,discounted local new,UNKNOWN,RTX 4080,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,New,UNKNOWN,UNKNOWN,UNKNOWN,Needs Verification,Watchlist,ChatGPT export provenance: Desktop-replacement Laptop Scan (69e58518-7fb8-83a1-ac74-f78c3c2a0686); message 0e6a38f3-20c3-405e-8383-0da45787fbaf.
2026-04-20,ChatGPT-Export,UNKNOWN,UNKNOWN,UNKNOWN,carefully selected refurb/used/import,UNKNOWN,RTX 4090,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Refurbished,UNKNOWN,UNKNOWN,UNKNOWN,Needs Verification,Watchlist,ChatGPT export provenance: Desktop-replacement Laptop Scan (69e58518-7fb8-83a1-ac74-f78c3c2a0686); message 0e6a38f3-20c3-405e-8383-0da45787fbaf.
2026-04-20,ChatGPT-Export,UNKNOWN,UNKNOWN,UNKNOWN,max 32GB,UNKNOWN,RTX 4080,12,UNKNOWN,UNKNOWN,UNKNOWN,New,UNKNOWN,UNKNOWN,UNKNOWN,Needs Verification,Watchlist,ChatGPT export provenance: Desktop-replacement Laptop Scan (69e58518-7fb8-83a1-ac74-f78c3c2a0686); message 0e6a38f3-20c3-405e-8383-0da45787fbaf.
2026-04-20,ChatGPT-Export,1,1A,Laptop,13 TOPS,UNKNOWN,RTX 5070 Ti,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Used,budget ceiling,UNKNOWN,UNKNOWN,Needs Verification,Watchlist,ChatGPT export provenance: Desktop-replacement Laptop Scan (69e58518-7fb8-83a1-ac74-f78c3c2a0686); message 0e6a38f3-20c3-405e-8383-0da45787fbaf.
2026-04-20,ChatGPT-Export,UNKNOWN,UNKNOWN,UNKNOWN,128GB RAM,UNKNOWN,RTX 5070 Ti,UNKNOWN,UNKNOWN,128,UNKNOWN,New,UNKNOWN,UNKNOWN,UNKNOWN,Needs Verification,Watchlist,ChatGPT export provenance: Desktop-replacement Laptop Scan (69e58518-7fb8-83a1-ac74-f78c3c2a0686); message 0e6a38f3-20c3-405e-8383-0da45787fbaf.
2026-04-20,ChatGPT-Export,UNKNOWN,UNKNOWN,UNKNOWN,16GB VRAM,UNKNOWN,RTX 4090,16,UNKNOWN,UNKNOWN,UNKNOWN,Used,UNKNOWN,UNKNOWN,UNKNOWN,Needs Verification,Watchlist,ChatGPT export provenance: Desktop-replacement Laptop Scan (69e58518-7fb8-83a1-ac74-f78c3c2a0686); message 0e6a38f3-20c3-405e-8383-0da45787fbaf.
2026-04-20,ChatGPT-Export,UNKNOWN,UNKNOWN,UNKNOWN,HP Omen 17t-ck200,UNKNOWN,RTX 4090,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Used,UNKNOWN,UNKNOWN,UNKNOWN,Needs Verification,Watchlist,ChatGPT export provenance: Desktop-replacement Laptop Scan (69e58518-7fb8-83a1-ac74-f78c3c2a0686); message 0e6a38f3-20c3-405e-8383-0da45787fbaf.
2026-04-20,ChatGPT-Export,1,1A,Laptop,Alienware m18 R1,UNKNOWN,RTX 4090,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Used,UNKNOWN,UNKNOWN,UNKNOWN,Needs Verification,Watchlist,ChatGPT export provenance: Desktop-replacement Laptop Scan (69e58518-7fb8-83a1-ac74-f78c3c2a0686); message 0e6a38f3-20c3-405e-8383-0da45787fbaf.
2026-04-20,ChatGPT-Export,1,1A,Laptop,64GB DDR5,UNKNOWN,RTX 4090,UNKNOWN,UNKNOWN,64,UNKNOWN,Refurbished,UNKNOWN,UNKNOWN,UNKNOWN,Needs Verification,Watchlist,ChatGPT export provenance: Desktop-replacement Laptop Scan (69e58518-7fb8-83a1-ac74-f78c3c2a0686); message 0e6a38f3-20c3-405e-8383-0da45787fbaf.
2026-04-20,ChatGPT-Export,UNKNOWN,UNKNOWN,UNKNOWN,18-inch compute-per-dollar,UNKNOWN,RTX 4080,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Used,UNKNOWN,UNKNOWN,UNKNOWN,Needs Verification,Watchlist,ChatGPT export provenance: Desktop-replacement Laptop Scan (69e58518-7fb8-83a1-ac74-f78c3c2a0686); message 0e6a38f3-20c3-405e-8383-0da45787fbaf.
2026-04-20,ChatGPT-Export,UNKNOWN,UNKNOWN,UNKNOWN,64GB/96GB,UNKNOWN,RTX 4090,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Used,UNKNOWN,UNKNOWN,UNKNOWN,Needs Verification,Watchlist,ChatGPT export provenance: Desktop-replacement Laptop Scan (69e58518-7fb8-83a1-ac74-f78c3c2a0686); message 0e6a38f3-20c3-405e-8383-0da45787fbaf.
2026-04-20,ChatGPT-Export,UNKNOWN,UNKNOWN,UNKNOWN,Gigabyte AORUS 17X AZF,UNKNOWN,RTX 4090,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Refurbished,UNKNOWN,UNKNOWN,UNKNOWN,Needs Verification,Watchlist,ChatGPT export provenance: Desktop-replacement Laptop Scan (69e58518-7fb8-83a1-ac74-f78c3c2a0686); message 0e6a38f3-20c3-405e-8383-0da45787fbaf.
2026-04-20,ChatGPT-Export,UNKNOWN,UNKNOWN,UNKNOWN,Local new 18-inch RTX 4080,3998,RTX 4080,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,New,UNKNOWN,UNKNOWN,UNKNOWN,Needs Verification,Watchlist,ChatGPT export provenance: Desktop-replacement Laptop Scan (69e58518-7fb8-83a1-ac74-f78c3c2a0686); message 0e6a38f3-20c3-405e-8383-0da45787fbaf.
2026-04-20,ChatGPT-Export,UNKNOWN,UNKNOWN,UNKNOWN,Local custom-barebones 17.3-inch RTX 5070 Ti,3499,RTX 5070 Ti,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Needs Verification,Watchlist,ChatGPT export provenance: Desktop-replacement Laptop Scan (69e58518-7fb8-83a1-ac74-f78c3c2a0686); message 0e6a38f3-20c3-405e-8383-0da45787fbaf.
2026-04-20,ChatGPT-Export,UNKNOWN,UNKNOWN,UNKNOWN,Imported/refurb 17–18 inch RTX 4090,3.6,RTX 4090,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Refurbished,UNKNOWN,UNKNOWN,UNKNOWN,Needs Verification,Watchlist,ChatGPT export provenance: Desktop-replacement Laptop Scan (69e58518-7fb8-83a1-ac74-f78c3c2a0686); message 0e6a38f3-20c3-405e-8383-0da45787fbaf.
2026-04-20,ChatGPT-Export,1,1A,Laptop,"A$4,499",4499,UNKNOWN,16,UNKNOWN,16,UNKNOWN,Used,UNKNOWN,UNKNOWN,UNKNOWN,Needs Verification,Watchlist,ChatGPT export provenance: Desktop-replacement Laptop Scan (69e58518-7fb8-83a1-ac74-f78c3c2a0686); message 0e6a38f3-20c3-405e-8383-0da45787fbaf.
2026-04-20,ChatGPT-Export,UNKNOWN,UNKNOWN,UNKNOWN,RTX 4080 / 12GB new,UNKNOWN,RTX 4080,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,New,UNKNOWN,UNKNOWN,UNKNOWN,Needs Verification,Watchlist,ChatGPT export provenance: Desktop-replacement Laptop Scan (69e58518-7fb8-83a1-ac74-f78c3c2a0686); message 0e6a38f3-20c3-405e-8383-0da45787fbaf.
2026-04-20,ChatGPT-Export,UNKNOWN,UNKNOWN,UNKNOWN,RTX 4090 / 16GB used/refurb,UNKNOWN,RTX 4090,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Refurbished,UNKNOWN,UNKNOWN,UNKNOWN,Needs Verification,Watchlist,ChatGPT export provenance: Desktop-replacement Laptop Scan (69e58518-7fb8-83a1-ac74-f78c3c2a0686); message 0e6a38f3-20c3-405e-8383-0da45787fbaf.
2026-04-20,ChatGPT-Export,UNKNOWN,UNKNOWN,UNKNOWN,selectively,4.5,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Refurbished,Big Apple Buddy or direct import,UNKNOWN,UNKNOWN,Needs Verification,Watchlist,ChatGPT export provenance: Desktop-replacement Laptop Scan (69e58518-7fb8-83a1-ac74-f78c3c2a0686); message 0e6a38f3-20c3-405e-8383-0da45787fbaf.
2026-04-20,ChatGPT-Export,1,1A,Laptop,ASUS ROG Strix Scar 18 RTX 4090 refurb (itsworthmore),UNKNOWN,RTX 4090,16,UNKNOWN,UNKNOWN,UNKNOWN,Refurbished,UNKNOWN,UNKNOWN,UNKNOWN,Needs Verification,Watchlist,ChatGPT export provenance: Desktop-replacement Laptop Scan (69e58518-7fb8-83a1-ac74-f78c3c2a0686); message 0e6a38f3-20c3-405e-8383-0da45787fbaf.
2026-04-20,ChatGPT-Export,UNKNOWN,UNKNOWN,UNKNOWN,HP Omen 17.3 RTX 4090 local pre-owned (“Like New”),UNKNOWN,RTX 4090,16,UNKNOWN,UNKNOWN,UNKNOWN,Used,UNKNOWN,UNKNOWN,UNKNOWN,Needs Verification,Watchlist,ChatGPT export provenance: Desktop-replacement Laptop Scan (69e58518-7fb8-83a1-ac74-f78c3c2a0686); message 0e6a38f3-20c3-405e-8383-0da45787fbaf.
2026-04-20,ChatGPT-Export,1,1A,Laptop,Alienware m18 R1 RTX 4090 UK pre-owned,UNKNOWN,RTX 4090,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Used,UNKNOWN,UNKNOWN,UNKNOWN,Needs Verification,Watchlist,ChatGPT export provenance: Desktop-replacement Laptop Scan (69e58518-7fb8-83a1-ac74-f78c3c2a0686); message 0e6a38f3-20c3-405e-8383-0da45787fbaf.
2026-04-20,ChatGPT-Export,UNKNOWN,UNKNOWN,UNKNOWN,Acer Predator Helios 18 RTX 4080 new at Harvey Norman,UNKNOWN,RTX 4080,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,New,UNKNOWN,UNKNOWN,UNKNOWN,Needs Verification,Watchlist,ChatGPT export provenance: Desktop-replacement Laptop Scan (69e58518-7fb8-83a1-ac74-f78c3c2a0686); message 0e6a38f3-20c3-405e-8383-0da45787fbaf.
